"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A search that matches zero products should still return HTTP 200 with error_code=0 but an empty products list and products_total=0. Ensures no false error is raised for valid requests with no matches.","0","TC_S08_NonExistentKeywordReturnsEmpty","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.SearchTest","Smoke - Search","com.testScenarios.SearchTest","TC_S08_NonExistentKeywordReturnsEmpty"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","1","TC_L03_LoginWithInvalidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","1","TC_L03_LoginWithInvalidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","1","TC_L03_LoginWithInvalidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Core smoke test: adding a known valid product with qty=1 must return error_code=0, a positive cart_id, and products_total >= 1. This is the fundamental happy-path assertion for the entire cart feature.","0","TC_C01_AddValidProduct","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.AddToCartTest","Smoke - Cart","com.testScenarios.AddToCartTest","TC_C01_AddValidProduct"
"product_id=-999 is an impossible value. Server must reject it with error_code != 0 and a non-empty error_message. Must not 5xx.","1","TC_D05_NegativeProductId","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.DeleteItemInCartTest","Smoke - Cart","com.testScenarios.DeleteItemInCartTest","TC_D05_NegativeProductId"
"A keyword that matches no products should return error_code=0 with an empty or null filter list — not an error code. Verifies the API treats 'no filters' as a valid empty state.","1","TC_F07_NonExistentKeywordReturnsEmptyFilters","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F07_NonExistentKeywordReturnsEmptyFilters"
"Smoke test: a known valid keyword must produce error_code=0 and a non-empty data.filter list. Fails fast if the filter endpoint is down or returning an empty response for all inputs.","1","TC_F01_GetFiltersWithValidKeyword","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F01_GetFiltersWithValidKeyword"
"Happy path: correct username + password must return error_code=0, a non-empty verify_token, and persist the token to TokenGlobal for downstream tests.","2","TC_L01_LoginWithValidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L01_LoginWithValidCredentials"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","1","TC_L03_LoginWithInvalidCredentials","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.LoginTest","Smoke - Authentication","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Core smoke test: searching with a known valid keyword must return error_code=0, products_total > 0, a non-empty product list, and a list size that does not exceed the requested page size.","1","TC_S01_SearchWithValidKeyword","[SMOKE] Hasaki.vn API","Mon May 25 06:42:40 UTC 2026","skipped","Mon May 25 06:42:40 UTC 2026","com.testScenarios.SearchTest","Smoke - Search","com.testScenarios.SearchTest","TC_S01_SearchWithValidKeyword"
