"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","701","TC_L03_LoginWithInvalidCredentials","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:18 UTC 2026","passed","Mon May 25 15:23:18 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","468","TC_U21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:42 UTC 2026","failed","Mon May 25 15:24:43 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Full cart lifecycle flow:
  Step 1 — POST /add-to-cart: add PRODUCT_VALID with qty=1.
  Step 2 — POST /delete-product: remove the same product.
  Step 3 — Assert: deleted product absent from data.products, grand_total is non-null and >= 0.
This is the canonical cart lifecycle smoke test that must pass before any checkout or payment flow tests are run.","1565","TC_D13_E2E_AddThenDeleteVerifyState","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:03 UTC 2026","passed","Mon May 25 15:25:05 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D13_E2E_AddThenDeleteVerifyState"
"Verifies the login endpoint is fully stateless on ingress — a brand-new client (no cookies at all) must be able to authenticate and receive a usable verify_token in the response.","871","TC_L05_LoginRequiresNoCookieButReturnsSession","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:19 UTC 2026","passed","Mon May 25 15:23:20 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L05_LoginRequiresNoCookieButReturnsSession"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","513","TC_D21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:13 UTC 2026","passed","Mon May 25 15:25:14 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Parameterised positive test: each row in AddToCartData.json provides a product id and quantity. Every combination must return error_code=0, a positive cart_id, and products_total >= 1. Covers multiple product types and boundary quantities.","825","TC_C20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:04 UTC 2026","passed","Mon May 25 15:24:05 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C20_DataDriven_ValidData"
"qty=0 is a boundary value: some implementations treat it as a delete. Either interpretation is acceptable (error_code 0 or non-zero), but a 5xx is not. error_code must always be present in the response.","2246","TC_U09_ZeroQuantity","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:20 UTC 2026","passed","Mon May 25 15:24:23 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U09_ZeroQuantity"
"Sends an empty JSON object '{}' — no product or quantity fields. Verifies the server performs required-field validation and returns a client error or error_code != 0, never an unhandled 5xx.","844","TC_C08_EmptyBody","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:59 UTC 2026","passed","Mon May 25 15:24:00 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C08_EmptyBody"
"Sends 5 consecutive bad-password requests for a valid username, then verifies the account is NOT locked by attempting a correct login afterward. Ensures the API does not produce false lockouts from failed test runs.","5773","TC_L06_RepeatedInvalidPasswordDoesNotLockValidLogin","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:20 UTC 2026","failed","Mon May 25 15:23:26 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L06_RepeatedInvalidPasswordDoesNotLockValidLogin"
"Fetches page 1 and page 2 for the same keyword and asserts the two product ID sets are disjoint. Catches off-by-one errors in the pagination offset calculation on the server.","628","TC_S04_PaginationNoOverlap","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:32 UTC 2026","passed","Mon May 25 15:23:32 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S04_PaginationNoOverlap"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","339","TC_C21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:06 UTC 2026","passed","Mon May 25 15:24:07 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Attempts to delete a product id that exists in the catalogue but is not in the test user's cart. Server must detect the missing cart line and return error_code != 0.","480","TC_D07_ProductNotInCart","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:53 UTC 2026","passed","Mon May 25 15:24:54 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D07_ProductNotInCart"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","361","TC_L03_LoginWithInvalidCredentials","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:16 UTC 2026","passed","Mon May 25 15:23:17 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Sends an unrecognised platform value ('desktop'). The server must reject it with a client error or fall back gracefully — never with a 5xx that would indicate an unhandled exception.","532","TC_F09_InvalidPlatformNoServerError","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:46 UTC 2026","passed","Mon May 25 15:23:46 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F09_InvalidPlatformNoServerError"
"Attempts to update quantity for a product that is valid but almost certainly not present in the test user's cart. Server must detect the missing cart line and return error_code != 0 rather than silently succeeding.","338","TC_U08_ProductNotInCart","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:20 UTC 2026","passed","Mon May 25 15:24:20 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U08_ProductNotInCart"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","2461","TC_U20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:35 UTC 2026","passed","Mon May 25 15:24:37 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"Iterates every filter item and checks all five mandatory fields are present and that 'values' is an array type. Catches field removal or structural regressions at the filter-item level.","86","TC_F02_VerifyFilterItemStructure","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:44 UTC 2026","passed","Mon May 25 15:23:44 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F02_VerifyFilterItemStructure"
"Collects sort_order values from all filter items into a Set and asserts no duplicates exist. Duplicate sort_order causes non-deterministic UI rendering order and is a data integrity bug.","88","TC_F04_SortOrderIsUnique","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:44 UTC 2026","passed","Mon May 25 15:23:44 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F04_SortOrderIsUnique"
"After deleting a product, asserts two critical outcomes:
  (1) data.products list does not contain the deleted product id.
  (2) data.grand_total is non-null and >= 0.
Verifies the delete actually removes the item from the cart state, not just returns a success code.","1396","TC_D02_DeletedProductAbsentFromCart","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:46 UTC 2026","passed","Mon May 25 15:24:48 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D02_DeletedProductAbsentFromCart"
"When the has_meta_data=1 flag is set, the response must include data.meta_data.products_total, a non-empty sort_params list, and the is_redirect flag. Ensures the meta block is not accidentally stripped.","159","TC_S03_MetaFieldsPresentWithFlag","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:32 UTC 2026","passed","Mon May 25 15:23:32 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S03_MetaFieldsPresentWithFlag"
"Parameterised negative test: each row in SearchInvalidData.json contains a keyword that must produce 0 matching products (gibberish strings, impossible combinations). Server must still return error_code=0 with an empty result set — not an error.","502","TC_S21_DataDriven_InvalidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:41 UTC 2026","passed","Mon May 25 15:23:41 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S21_DataDriven_InvalidKeywords"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","618","TC_S20_DataDriven_ValidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:39 UTC 2026","passed","Mon May 25 15:23:39 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Adds two distinct products to the cart, then deletes only the first one. Asserts the first product is absent and the second product still exists in data.products. Validates that the delete operation is targeted and does not accidentally clear unrelated cart lines.","1931","TC_D03_DeleteOneProductOtherStaysInCart","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:48 UTC 2026","passed","Mon May 25 15:24:49 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D03_DeleteOneProductOtherStaysInCart"
"Full cross-endpoint user journey:
  Step 1 — GET /search for 'SON MOI': retrieve product list, pick first id.
  Step 2 — POST /add-to-cart with the first product id (qty=1).
  Step 3 — POST /update-product to change qty to 2.
Asserts each step succeeds independently and the final update returns a non-empty alert_message. Validates the add→update dependency chain.","2877","TC_U14_E2E_SearchAddThenUpdate","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:30 UTC 2026","failed","Mon May 25 15:24:33 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U14_E2E_SearchAddThenUpdate"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","921","TC_D21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:12 UTC 2026","passed","Mon May 25 15:25:13 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"Validates the full search response JSON against SearchSchema.json. Covers field names, data types, and required vs optional fields across the entire response tree.","333","TC_S11_SearchResponseSchema","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:36 UTC 2026","passed","Mon May 25 15:23:37 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S11_SearchResponseSchema"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","1806","TC_U21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:40 UTC 2026","passed","Mon May 25 15:24:42 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Delete is triggered from the cart page when the user removes an item. Slow responses here block the cart re-render and degrade the checkout UX. Must complete within 3000ms.","1989","TC_D14_DeleteItemResponseTime","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:05 UTC 2026","passed","Mon May 25 15:25:07 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D14_DeleteItemResponseTime"
"Verifies the user-facing confirmation message is present and contains success-indicating text ('thành công', 'added', or 'success'). A blank or missing alert_message would leave the user without visual feedback.","800","TC_C02_SuccessAlertMessage","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:53 UTC 2026","passed","Mon May 25 15:23:54 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C02_SuccessAlertMessage"
"Verifies the user-facing confirmation message is present and non-empty after a successful delete. A blank alert_message gives the user no feedback that the item was removed.","2905","TC_D04_SuccessAlertMessage","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:49 UTC 2026","failed","Mon May 25 15:24:52 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D04_SuccessAlertMessage"
"When the same product is added a second time, the server may either merge the quantity (products_total stays the same) or treat it as a second line item (products_total increments). Either behaviour is acceptable, but products_total must never decrease — that would indicate a cart state corruption bug.","1780","TC_C03_AddSameProductTwiceCartTotalNonDecreasing","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:54 UTC 2026","passed","Mon May 25 15:23:56 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C03_AddSameProductTwiceCartTotalNonDecreasing"
"Parameterised negative test: each row in DeleteCartInvalidData.json contains an invalid combination (non-existent product, negative product_id, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","365","TC_D21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:14 UTC 2026","passed","Mon May 25 15:25:14 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D21_DataDriven_InvalidData"
"quantity_selected=-1 is semantically invalid for a cart quantity. Server must reject it with error_code != 0 and must not apply a negative quantity that would corrupt cart totals.","1940","TC_U10_NegativeQuantity","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:23 UTC 2026","failed","Mon May 25 15:24:25 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U10_NegativeQuantity"
"Ensure the remember flag does not break authentication. A short-lived session should still return a valid verify_token.","960","TC_L02_LoginWithRememberFalse","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:14 UTC 2026","failed","Mon May 25 15:23:15 UTC 2026","com.testScenarios.LoginTest","Full - Login (All Groups)","com.testScenarios.LoginTest","TC_L02_LoginWithRememberFalse"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","568","TC_S20_DataDriven_ValidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:37 UTC 2026","passed","Mon May 25 15:23:37 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"product_id=-999 is an impossible value. The server must reject it with error_code != 0 and a non-empty error_message. A 5xx here would indicate the server is not sanitising the input.","833","TC_C04_NegativeProductId","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:56 UTC 2026","passed","Mon May 25 15:23:57 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C04_NegativeProductId"
"product_id=-999 is an impossible value. Server must reject it with error_code != 0 and a non-empty error_message. Must not 5xx.","370","TC_D05_NegativeProductId","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:52 UTC 2026","passed","Mon May 25 15:24:53 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D05_NegativeProductId"
"Core smoke test: adding a known valid product with qty=1 must return error_code=0, a positive cart_id, and products_total >= 1. This is the fundamental happy-path assertion for the entire cart feature.","1774","TC_C01_AddValidProduct","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:52 UTC 2026","passed","Mon May 25 15:23:53 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C01_AddValidProduct"
"A search that matches zero products should still return HTTP 200 with error_code=0 but an empty products list and products_total=0. Ensures no false error is raised for valid requests with no matches.","536","TC_S08_NonExistentKeywordReturnsEmpty","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:34 UTC 2026","passed","Mon May 25 15:23:35 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S08_NonExistentKeywordReturnsEmpty"
"A keyword that matches no products should return error_code=0 with an empty or null filter list — not an error code. Verifies the API treats 'no filters' as a valid empty state.","494","TC_F07_NonExistentKeywordReturnsEmptyFilters","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:45 UTC 2026","passed","Mon May 25 15:23:45 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F07_NonExistentKeywordReturnsEmptyFilters"
"Cart updates are triggered by the user changing the quantity stepper. Slow responses here cause UI spinner delays on a high-interaction component. Must complete within 3000ms.","1763","TC_U15_UpdateCartResponseTime","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:33 UTC 2026","passed","Mon May 25 15:24:35 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U15_UpdateCartResponseTime"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","339","TC_C21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:05 UTC 2026","passed","Mon May 25 15:24:06 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","394","TC_C21_DataDriven_InvalidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:06 UTC 2026","failed","Mon May 25 15:24:06 UTC 2026","com.testScenarios.AddToCartTest","Full - Add To Cart (All Groups)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","536","TC_S20_DataDriven_ValidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:37 UTC 2026","passed","Mon May 25 15:23:38 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Deep-validates every entry inside every filter's values array. Asserts key, label, and value are non-null, and that value (product count) is a non-negative integer. Prevents UI rendering crashes from null option data.","284","TC_F03_VerifyFilterValuesStructure","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:44 UTC 2026","passed","Mon May 25 15:23:44 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F03_VerifyFilterValuesStructure"
"Parameterised positive test: each row in DeleteCartData.json provides a product id and quantity. ensureInCart() is called per row before the delete. Every combination must return error_code=0 and the deleted product must be absent from the remaining data.products list.","1439","TC_D20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:25:09 UTC 2026","failed","Mon May 25 15:25:11 UTC 2026","com.testScenarios.DeleteItemInCartTest","Full - Delete Cart Item (All Groups)","com.testScenarios.DeleteItemInCartTest","TC_D20_DataDriven_ValidData"
"An empty string 'q' param is a boundary input. The server must handle it gracefully (200 or 4xx) and must never crash (5xx).","523","TC_F08_EmptyKeywordNoServerError","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:45 UTC 2026","passed","Mon May 25 15:23:46 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F08_EmptyKeywordNoServerError"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1706","TC_U20_DataDriven_ValidData","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:24:37 UTC 2026","passed","Mon May 25 15:24:39 UTC 2026","com.testScenarios.UpdateCartTest","Full - Update Cart (All Groups)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"Filter data is loaded when the user first opens the search/listing page. Slow filter responses directly delay page load. Must complete within 3000ms.","90","TC_F13_FilterResponseTime","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:48 UTC 2026","passed","Mon May 25 15:23:48 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F13_FilterResponseTime"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","744","TC_S20_DataDriven_ValidKeywords","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:39 UTC 2026","passed","Mon May 25 15:23:40 UTC 2026","com.testScenarios.SearchTest","Full - Search (All Groups)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Validates the full filter response JSON against FilterSchema.json. Covers nested structure validation (filter items + values arrays) including field types and required/optional constraints.","77","TC_F12_FilterResponseSchema","[FULL] Hasaki.vn API - All Tests","Mon May 25 15:23:48 UTC 2026","passed","Mon May 25 15:23:48 UTC 2026","com.testScenarios.FilterTest","Full - Filter (All Groups)","com.testScenarios.FilterTest","TC_F12_FilterResponseSchema"
