"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","817","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:21 UTC 2026","passed","Mon May 25 14:46:22 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Business rule: the 'brand' filter is mandatory for lipstick (SON MOI) searches because brand is a primary purchase decision factor for this category. Absence of the brand filter would break the filter panel on the product listing page.","214","TC_F05_BrandFilterMustExist","[SANITY] Hasaki.vn API","Mon May 25 14:21:04 UTC 2026","passed","Mon May 25 14:21:05 UTC 2026","com.testScenarios.FilterTest","Sanity - Filter (Positive only)","com.testScenarios.FilterTest","TC_F05_BrandFilterMustExist"
"Parameterised positive test: each row in AddToCartData.json provides a product id and quantity. Every combination must return error_code=0, a positive cart_id, and products_total >= 1. Covers multiple product types and boundary quantities.","838","TC_C20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:28 UTC 2026","passed","Mon May 25 14:46:28 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C20_DataDriven_ValidData"
"Quantity zero has no business meaning in a cart. The server should either reject the request outright (4xx) or return HTTP 200 with error_code != 0.","214","TC_C06_QuantityZero","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:18 UTC 2026","passed","Mon May 25 14:31:19 UTC 2026","com.testScenarios.AddToCartTest","Negative - Add To Cart Validation","com.testScenarios.AddToCartTest","TC_C06_QuantityZero"
"Parameterised positive test: each row in FilterData.json supplies a keyword and platform value. Asserts error_code=0, non-empty filter list, and all items have key, name, and values fields. Covers category keywords, brand keywords, and both platform types in bulk.","547","TC_F20_DataDriven_ValidFilters","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:24 UTC 2026","passed","Mon May 25 14:46:24 UTC 2026","com.testScenarios.FilterTest","Data-Driven - Filter (Multiple Params)","com.testScenarios.FilterTest","TC_F20_DataDriven_ValidFilters"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","545","TC_L03_LoginWithInvalidCredentials","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:06 UTC 2026","passed","Mon May 25 14:31:06 UTC 2026","com.testScenarios.LoginTest","Negative - Login Validation","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Cross-feature integration flow:
  Step 1 — GET /filters for 'SON MOI' to retrieve available filter keys.
  Step 2 — Pick the first filter that has at least one value option.
  Step 3 — GET /search with that filter key=value appended as a query param.
Asserts the filtered search returns a valid 200 response with a non-null product list. Validates that filter keys returned by /filters are actually accepted by /search.","917","TC_F11_FilterKeyAppliedToSearchReturnsResults","[SMOKE] Hasaki.vn API","Mon May 25 14:23:56 UTC 2026","passed","Mon May 25 14:23:57 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F11_FilterKeyAppliedToSearchReturnsResults"
"Submitting an empty string as the keyword is a boundary input. The server must respond with either a client error (400) or a graceful 200 with error_code present — never a server error (5xx).","769","TC_S09_EmptyKeyword","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:12 UTC 2026","passed","Mon May 25 14:31:12 UTC 2026","com.testScenarios.SearchTest","Negative - Search Validation","com.testScenarios.SearchTest","TC_S09_EmptyKeyword"
"product_id=-999 is an impossible value. The server must reject it with error_code != 0 and a non-empty error_message. A 5xx here would indicate the server is not sanitising the input.","398","TC_C04_NegativeProductId","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:18 UTC 2026","passed","Mon May 25 14:31:18 UTC 2026","com.testScenarios.AddToCartTest","Negative - Add To Cart Validation","com.testScenarios.AddToCartTest","TC_C04_NegativeProductId"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","393","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:30 UTC 2026","failed","Mon May 25 14:46:30 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Iterates every filter item and checks all five mandatory fields are present and that 'values' is an array type. Catches field removal or structural regressions at the filter-item level.","207","TC_F02_VerifyFilterItemStructure","[SMOKE] Hasaki.vn API","Mon May 25 14:23:55 UTC 2026","passed","Mon May 25 14:23:55 UTC 2026","com.testScenarios.FilterTest","Smoke - Filter","com.testScenarios.FilterTest","TC_F02_VerifyFilterItemStructure"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","285","TC_L03_LoginWithInvalidCredentials","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:07 UTC 2026","passed","Mon May 25 14:31:08 UTC 2026","com.testScenarios.LoginTest","Negative - Login Validation","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Core smoke test: increasing quantity from 1 to 2 must return error_code=0 and a non-null data block. Verifies the update endpoint is reachable and functional.","1002","TC_U01_UpdateToQty2","[SANITY] Hasaki.vn API","Mon May 25 14:21:10 UTC 2026","passed","Mon May 25 14:21:11 UTC 2026","com.testScenarios.UpdateCartTest","Sanity - Update Cart (Positive only)","com.testScenarios.UpdateCartTest","TC_U01_UpdateToQty2"
"Parameterised positive test: each row in DeleteCartData.json provides a product id and quantity. ensureInCart() is called per row before the delete. Every combination must return error_code=0 and the deleted product must be absent from the remaining data.products list.","1527","TC_D20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:37 UTC 2026","passed","Mon May 25 14:46:38 UTC 2026","com.testScenarios.DeleteItemInCartTest","Data-Driven - Delete Cart (Multiple Items)","com.testScenarios.DeleteItemInCartTest","TC_D20_DataDriven_ValidData"
"Fetches page 1 and page 2 for the same keyword and asserts the two product ID sets are disjoint. Catches off-by-one errors in the pagination offset calculation on the server.","942","TC_S04_PaginationNoOverlap","[SANITY] Hasaki.vn API","Mon May 25 14:20:57 UTC 2026","passed","Mon May 25 14:20:58 UTC 2026","com.testScenarios.SearchTest","Sanity - Search (Positive only)","com.testScenarios.SearchTest","TC_S04_PaginationNoOverlap"
"Validates the success response structure against AddToCartSchema.json. Ensures field names, types (cart_id as long, products_total as int), and required fields are preserved across deployments.","356","TC_C10_AddToCartResponseSchema","[REGRESSION] Hasaki.vn API","Mon May 25 14:20:08 UTC 2026","passed","Mon May 25 14:20:08 UTC 2026","com.testScenarios.AddToCartTest","Regression - Add To Cart","com.testScenarios.AddToCartTest","TC_C10_AddToCartResponseSchema"
"Parameterised positive test: each row in FilterData.json supplies a keyword and platform value. Asserts error_code=0, non-empty filter list, and all items have key, name, and values fields. Covers category keywords, brand keywords, and both platform types in bulk.","618","TC_F20_DataDriven_ValidFilters","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:25 UTC 2026","passed","Mon May 25 14:46:26 UTC 2026","com.testScenarios.FilterTest","Data-Driven - Filter (Multiple Params)","com.testScenarios.FilterTest","TC_F20_DataDriven_ValidFilters"
"product_id=-999 is an impossible value. Server must reject it with error_code != 0 and a non-empty error_message. Must not 5xx.","393","TC_D05_NegativeProductId","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:25 UTC 2026","passed","Mon May 25 14:31:25 UTC 2026","com.testScenarios.DeleteItemInCartTest","Negative - Delete Cart Item Validation","com.testScenarios.DeleteItemInCartTest","TC_D05_NegativeProductId"
"Verifies the user-facing confirmation message is present and contains success-indicating text ('thành công', 'added', or 'success'). A blank or missing alert_message would leave the user without visual feedback.","416","TC_C02_SuccessAlertMessage","[SANITY] Hasaki.vn API","Mon May 25 14:21:08 UTC 2026","passed","Mon May 25 14:21:08 UTC 2026","com.testScenarios.AddToCartTest","Sanity - Add To Cart (Positive only)","com.testScenarios.AddToCartTest","TC_C02_SuccessAlertMessage"
"Validates the full filter response JSON against FilterSchema.json. Covers nested structure validation (filter items + values arrays) including field types and required/optional constraints.","190","TC_F12_FilterResponseSchema","[REGRESSION] Hasaki.vn API","Mon May 25 14:20:04 UTC 2026","passed","Mon May 25 14:20:04 UTC 2026","com.testScenarios.FilterTest","Regression - Filter","com.testScenarios.FilterTest","TC_F12_FilterResponseSchema"
"Omits the mandatory 'q' param entirely. Expects a 4xx client error or a 200 with error_code != 0. A 5xx here indicates the endpoint does not validate required params.","494","TC_F10_MissingQParamNoServerError","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:17 UTC 2026","passed","Mon May 25 14:31:18 UTC 2026","com.testScenarios.FilterTest","Negative - Filter Validation","com.testScenarios.FilterTest","TC_F10_MissingQParamNoServerError"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1323","TC_U20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:32 UTC 2026","passed","Mon May 25 14:46:34 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"When the same product is added a second time, the server may either merge the quantity (products_total stays the same) or treat it as a second line item (products_total increments). Either behaviour is acceptable, but products_total must never decrease — that would indicate a cart state corruption bug.","726","TC_C03_AddSameProductTwiceCartTotalNonDecreasing","[SANITY] Hasaki.vn API","Mon May 25 14:21:08 UTC 2026","passed","Mon May 25 14:21:09 UTC 2026","com.testScenarios.AddToCartTest","Sanity - Add To Cart (Positive only)","com.testScenarios.AddToCartTest","TC_C03_AddSameProductTwiceCartTotalNonDecreasing"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","759","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:29 UTC 2026","passed","Mon May 25 14:46:30 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Parameterised negative test: each row in UpdateCartInvalidData.json contains an invalid combination (non-existent product, negative qty, etc.). Every row must return HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","456","TC_U21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:35 UTC 2026","failed","Mon May 25 14:46:36 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U21_DataDriven_InvalidData"
"Attempts to delete a product id that exists in the catalogue but is not in the test user's cart. Server must detect the missing cart line and return error_code != 0.","307","TC_D07_ProductNotInCart","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:26 UTC 2026","passed","Mon May 25 14:31:26 UTC 2026","com.testScenarios.DeleteItemInCartTest","Negative - Delete Cart Item Validation","com.testScenarios.DeleteItemInCartTest","TC_D07_ProductNotInCart"
"Login is on the critical path for all authenticated features. A response exceeding 3000ms is considered a performance regression.","425","TC_L08_LoginResponseTime","[PERFORMANCE] Hasaki.vn API - Response Time SLA","Mon May 25 14:19:08 UTC 2026","passed","Mon May 25 14:19:08 UTC 2026","com.testScenarios.LoginTest","Performance - Login Endpoint","com.testScenarios.LoginTest","TC_L08_LoginResponseTime"
"Validates the full search response JSON against SearchSchema.json. Covers field names, data types, and required vs optional fields across the entire response tree.","256","TC_S11_SearchResponseSchema","[REGRESSION] Hasaki.vn API","Mon May 25 14:19:55 UTC 2026","passed","Mon May 25 14:19:55 UTC 2026","com.testScenarios.SearchTest","Regression - Search","com.testScenarios.SearchTest","TC_S11_SearchResponseSchema"
"Sends the same concept keyword in Vietnamese Unicode ('son môi' with diacritic). Verifies the API handles UTF-8 encoded queries without a 4xx/5xx response and returns a parseable JSON body with products_total present.","683","TC_S06_VietnameseUnicodeKeyword","[SANITY] Hasaki.vn API","Mon May 25 14:20:58 UTC 2026","passed","Mon May 25 14:20:59 UTC 2026","com.testScenarios.SearchTest","Sanity - Search (Positive only)","com.testScenarios.SearchTest","TC_S06_VietnameseUnicodeKeyword"
"Verifies both platform values are accepted. Web and mobile may return different filter sets (e.g. mobile hides advanced filters), but both must return HTTP 200 with a non-null filter list.","659","TC_F06_WebAndMobilePlatformBothSucceed","[SANITY] Hasaki.vn API","Mon May 25 14:21:05 UTC 2026","passed","Mon May 25 14:21:05 UTC 2026","com.testScenarios.FilterTest","Sanity - Filter (Positive only)","com.testScenarios.FilterTest","TC_F06_WebAndMobilePlatformBothSucceed"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","668","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:21 UTC 2026","passed","Mon May 25 14:46:21 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"Parameterised negative test: each row in AddToCartInvalidData.json contains an invalid combination (non-existent id, zero qty, negative qty, etc.). Every row must produce HTTP < 500; if HTTP 200, error_code must be non-zero and error_message must be non-empty.","339","TC_C21_DataDriven_InvalidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:31 UTC 2026","passed","Mon May 25 14:46:31 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C21_DataDriven_InvalidData"
"Full user journey through three endpoints:
  Step 1 — GET /filters for 'SON MOI': asserts filters are returned.
  Step 2 — GET /search for 'SON MOI': retrieves product list and picks first id.
  Step 3 — POST /add-to-cart with the first search result id.
Validates the complete upstream dependency chain — a search-result product id must be valid and addable to cart without any intermediate manual step.","1532","TC_C09_E2E_FilterSearchAddToCart","[SMOKE] Hasaki.vn API","Mon May 25 14:23:57 UTC 2026","passed","Mon May 25 14:23:59 UTC 2026","com.testScenarios.AddToCartTest","Smoke - Cart","com.testScenarios.AddToCartTest","TC_C09_E2E_FilterSearchAddToCart"
"Adding to cart is a transactional write operation triggered by user intent. Latency above 3000ms causes perceived cart abandonment and is a regression indicator.","476","TC_C11_AddToCartResponseTime","[PERFORMANCE] Hasaki.vn API - Response Time SLA","Mon May 25 14:19:09 UTC 2026","passed","Mon May 25 14:19:10 UTC 2026","com.testScenarios.AddToCartTest","Performance - Cart Endpoints","com.testScenarios.AddToCartTest","TC_C11_AddToCartResponseTime"
"Collects sort_order values from all filter items into a Set and asserts no duplicates exist. Duplicate sort_order causes non-deterministic UI rendering order and is a data integrity bug.","230","TC_F04_SortOrderIsUnique","[SANITY] Hasaki.vn API","Mon May 25 14:21:04 UTC 2026","passed","Mon May 25 14:21:04 UTC 2026","com.testScenarios.FilterTest","Sanity - Filter (Positive only)","com.testScenarios.FilterTest","TC_F04_SortOrderIsUnique"
"Performs four consecutive updates on the same product (qty: 1→2→3→5). Each update must independently succeed with error_code=0. Validates there is no session-level state that blocks repeated updates.","2337","TC_U04_SequentialUpdates","[SANITY] Hasaki.vn API","Mon May 25 14:21:13 UTC 2026","passed","Mon May 25 14:21:15 UTC 2026","com.testScenarios.UpdateCartTest","Sanity - Update Cart (Positive only)","com.testScenarios.UpdateCartTest","TC_U04_SequentialUpdates"
"Parameterised positive test: each row in SearchData.json supplies a keyword, pagination params, and an expectedMin product count. Asserts error_code=0, products_total >= expectedMin, and list size <= requested size. Covers diverse keyword types (brand names, categories, short strings) in bulk.","709","TC_S20_DataDriven_ValidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:19 UTC 2026","passed","Mon May 25 14:46:20 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S20_DataDriven_ValidKeywords"
"When the has_meta_data=1 flag is set, the response must include data.meta_data.products_total, a non-empty sort_params list, and the is_redirect flag. Ensures the meta block is not accidentally stripped.","431","TC_S03_MetaFieldsPresentWithFlag","[SANITY] Hasaki.vn API","Mon May 25 14:20:56 UTC 2026","passed","Mon May 25 14:20:57 UTC 2026","com.testScenarios.SearchTest","Sanity - Search (Positive only)","com.testScenarios.SearchTest","TC_S03_MetaFieldsPresentWithFlag"
"product_id=9999999 does not exist in the catalogue or any cart. Server must return error_code != 0 rather than silently succeed or 5xx.","526","TC_D06_NonExistentProductId","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:25 UTC 2026","passed","Mon May 25 14:31:26 UTC 2026","com.testScenarios.DeleteItemInCartTest","Negative - Delete Cart Item Validation","com.testScenarios.DeleteItemInCartTest","TC_D06_NonExistentProductId"
"quantity_selected=-1 is semantically invalid for a cart quantity. Server must reject it with error_code != 0 and must not apply a negative quantity that would corrupt cart totals.","579","TC_U10_NegativeQuantity","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:22 UTC 2026","passed","Mon May 25 14:31:22 UTC 2026","com.testScenarios.UpdateCartTest","Negative - Update Cart Validation","com.testScenarios.UpdateCartTest","TC_U10_NegativeQuantity"
"Full cross-endpoint user journey:
  Step 1 — GET /search for 'SON MOI': retrieve product list, pick first id.
  Step 2 — POST /add-to-cart with the first product id (qty=1).
  Step 3 — POST /update-product to change qty to 2.
Asserts each step succeeds independently and the final update returns a non-empty alert_message. Validates the add→update dependency chain.","1051","TC_U14_E2E_SearchAddThenUpdate","[E2E] Hasaki.vn API - User Journeys","Mon May 25 14:17:29 UTC 2026","failed","Mon May 25 14:17:30 UTC 2026","com.testScenarios.UpdateCartTest","E2E Journey 1 - Step 5: Update Cart","com.testScenarios.UpdateCartTest","TC_U14_E2E_SearchAddThenUpdate"
"Tests two invalid quantity values together to avoid duplication:
  (a) qty=0: boundary value; server behaviour may vary — no 5xx required.
  (b) qty=-1: invalid; if HTTP 200, error_code must be non-zero.","1289","TC_D09_InvalidQuantity","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:26 UTC 2026","passed","Mon May 25 14:31:27 UTC 2026","com.testScenarios.DeleteItemInCartTest","Negative - Delete Cart Item Validation","com.testScenarios.DeleteItemInCartTest","TC_D09_InvalidQuantity"
"Full cart lifecycle flow:
  Step 1 — POST /add-to-cart: add PRODUCT_VALID with qty=1.
  Step 2 — POST /delete-product: remove the same product.
  Step 3 — Assert: deleted product absent from data.products, grand_total is non-null and >= 0.
This is the canonical cart lifecycle smoke test that must pass before any checkout or payment flow tests are run.","886","TC_D13_E2E_AddThenDeleteVerifyState","[SMOKE] Hasaki.vn API","Mon May 25 14:24:01 UTC 2026","passed","Mon May 25 14:24:02 UTC 2026","com.testScenarios.DeleteItemInCartTest","Smoke - Cart","com.testScenarios.DeleteItemInCartTest","TC_D13_E2E_AddThenDeleteVerifyState"
"Delete is triggered from the cart page when the user removes an item. Slow responses here block the cart re-render and degrade the checkout UX. Must complete within 3000ms.","1113","TC_D14_DeleteItemResponseTime","[PERFORMANCE] Hasaki.vn API - Response Time SLA","Mon May 25 14:19:11 UTC 2026","passed","Mon May 25 14:19:12 UTC 2026","com.testScenarios.DeleteItemInCartTest","Performance - Cart Endpoints","com.testScenarios.DeleteItemInCartTest","TC_D14_DeleteItemResponseTime"
"Verifies the user-facing confirmation message is present after a successful update. A blank alert_message would leave the user without visual feedback that the cart changed.","779","TC_U03_SuccessAlertMessage","[SANITY] Hasaki.vn API","Mon May 25 14:21:12 UTC 2026","failed","Mon May 25 14:21:13 UTC 2026","com.testScenarios.UpdateCartTest","Sanity - Update Cart (Positive only)","com.testScenarios.UpdateCartTest","TC_U03_SuccessAlertMessage"
